grid_id,Country,District,Aflatoxin,class,PrecClus,Year,Lat,Long,PH,silt,CEC,orgcarb,nitrogen,dem,eviJan,pdsiJan,vpdJan,stempJan,maxtempJan,mintempJan,precJan,smoistJan,eviFeb,pdsiFeb,vpdFeb,stempFeb,maxtempFeb,mintempFeb,precFeb,smoistFeb,eviMar,pdsiMar,vpdMar,stempMar,maxtempMar,mintempMar,precMar,smoistMar,eviApr,pdsiApr,vpdApr,stempApr,maxtempApr,mintempApr,precApr,smoistApr,eviMay,pdsiMay,vpdMay,stempMay,maxtempMay,mintempMay,precMay,smoistMay,eviJun,pdsiJun,vpdJun,stempJun,maxtempJun,mintempJun,precJun,smoistJun,eviJul,pdsiJul,vpdJul,stempJul,maxtempJul,mintempJul,precJul,smoistJul,eviAug,pdsiAug,vpdAug,stempAug,maxtempAug,mintempAug,precAug,smoistAug,eviSep,pdsiSep,vpdSep,stempSep,maxtempSep,mintempSep,precSep,smoistSep,eviOct,pdsiOct,vpdOct,stempOct,maxtempOct,mintempOct,precOct,smoistOct,eviNov,pdsiNov,vpdNov,stempNov,maxtempNov,mintempNov,precNov,smoistNov,eviDec,pdsiDec,vpdDec,stempDec,maxtempDec,mintempDec,precDec,smoistDec
123,Malawi,NSANJE,5.39,c2,2,2014,-17.11,35.22,67.20183873,13.5751872,25.37291992,20.13638069,62.98456316,49.44259739,0.33207749,-3.460000038,1.220000029,26.47928934,33.90000153,22.39999962,112,21.70000076,0.388182582,-4.25,1.269999981,25.87586881,34.59999847,23.10000038,81,19.79999924,0.433039219,-4.440000057,1.090000033,26.34964073,32.70000076,21.60000038,128,18.89999962,0.372952685,-5,1.049999952,26.84489631,32.20000076,20.10000038,32,17.39999962,0.336580425,-5.599999905,1.090000033,26.43903159,31.5,16.70000076,4,16.20000076,0.305253271,-5.920000076,0.860000014,24.81300245,29.20000076,14.80000019,6,15.10000038,0.294759459,-6.110000134,0.879999995,24.76606183,29.70000076,15.69999981,6,14.19999981,0.264840015,-6.190000057,1.25,26.40019014,31.89999962,15.5,1,13.30000019,0.245860793,-6.019999981,1.629999995,29.29880992,34.40000153,18.89999962,3,12.60000038,0.248311315,-6.110000134,2.279999971,32.02226292,38.90000153,22.20000076,10,11.89999962,0.255738606,-6.96999979,2.079999924,32.80894395,38,22.5,22,11.30000019,0.416353707,-7.559999943,1.700000048,31.40721798,37,23.10000038,100,10.80000019
309,Malawi,NSANJE,54.77,c3,5,2014,-17.06,35.21,67.25686819,14.65950187,24.82853556,19.86488638,62.37815315,51.15993786,0.258814034,-3.428535799,1.207707186,26.53203773,33.77706908,22.35418627,118.4582273,22.8876946,0.408191508,-4.14458557,1.237707158,25.88018227,34.37706919,22.93127944,87.54177265,20.77307878,0.451601379,-4.336050133,1.080000043,26.31551552,32.63120811,21.57709317,133.687341,20.29600237,0.353859604,-4.882292966,1.052292804,26.82213783,32.17706843,20.07709317,33.14556617,18.60430868,0.297902737,-5.515221139,1.092292885,26.46346474,31.47706875,16.67709355,4,17.21261641,0.253787789,-5.866685279,0.867707153,24.86501503,29.15413826,14.85418573,6.770886876,15.96677036,0.226125392,-6.052735316,0.887707134,24.84017372,29.75413675,15.63127871,7,14.92092424,0.208563017,-6.164199479,1.270828633,26.51915932,31.93120626,15.53127928,1,13.97507756,0.206781726,-6.006492482,1.5729284,29.41100502,34.06879265,18.59162777,3,13.15215431,0.204058225,-6.111906912,2.178149727,32.14229584,38.53758901,21.76034871,11,12.50630823,0.212728735,-6.979613946,2.015221241,32.85555267,37.66879331,22.26872132,22,11.78338537,0.34240887,-7.55814984,1.662292818,31.46468544,36.77706908,23,101.145564,11.26046231
310,Malawi,NSANJE,109.74,c3,2,2014,-17.03,35.22,64.91469264,13.72503915,24.62311037,19.26103027,61.23451333,55.65969305,0.386116367,-3.369999886,1.200000048,26.53203773,33.79999924,22.29999924,127,24.39999962,0.452910554,-3.970000029,1.220000029,25.88018227,34.29999924,22.89999962,96,22,0.434973085,-4.179999828,1.070000052,26.31551552,32.59999847,21.5,139,21.89999962,0.353448301,-4.71999979,1.049999952,26.82213783,32.09999847,20.10000038,32,19.89999962,0.303104709,-5.400000095,1.090000033,26.46346474,31.5,16.70000076,4,18.29999924,0.2540153,-5.78000021,0.860000014,24.86501503,29.10000038,14.80000019,6,16.89999962,0.224455072,-5.949999809,0.879999995,24.84017372,29.70000076,15.69999981,9,15.80000019,0.209821302,-6.099999905,1.279999971,26.51915932,32,15.60000038,1,14.69999981,0.212126971,-5.96999979,1.580000043,29.41100502,34.09999847,18.60000038,3,13.89999962,0.228587772,-6.099999905,2.170000076,32.14229584,38.40000153,21.79999924,11,13.10000038,0.243516652,-6.96999979,2,32.85555267,37.59999847,22.20000076,22,12.39999962,0.332433445,-7.550000191,1.629999995,31.46468544,36.70000076,22.89999962,103,11.69999981
495,Malawi,Nsanje,12.67368421,c2,5,2015,-17.01,35.13,59.37270686,10.86782747,26.62167912,25.14785499,77.45407923,400.4389263,0.321168408,-3.46774621,1.018998283,25.10470009,31.99499246,20.69247708,128.874642,39.15741322,0.525411084,-4.139499018,0.97899832,24.530756,32.49499242,20.88996808,93.89971357,34.9448867,0.498207259,-4.479749588,0.919248742,25.15365028,30.89248834,20.19498497,154.9247852,53.10731026,0.46366619,-4.720500639,0.969248754,25.83605385,30.69499322,19.09498459,46.92478519,42.23987571,0.408784474,-5.591252267,1.069749625,25.50542641,30.29749551,16.10000038,4.974928401,35.15991833,0.336978807,-6.101252033,0.880250419,23.63289833,28,14.5,8,30.26743234,0.280117258,-6.441753034,0.940751272,23.69036293,28.90250341,15.39999962,8.97492841,26.5749489,0.217378584,-6.830751204,1.24000001,25.31749916,30.5,14.89999962,1,23.67995955,0.183661003,-6.829248658,1.509749566,28.20797157,32.69749694,17.89749172,4,21.3824636,0.195492536,-6.899499247,2.05924867,30.98876381,37.09749472,20.79498351,11,19.48496909,0.172500298,-7.679749411,1.748747879,31.6746769,35.7924879,20.59498459,24,17.88747388,0.387898685,-8.119499052,1.358497465,30.12935829,34.69248943,21.2899677,113.0250716,16.58997977
683,Malawi,NSANJE,16.11,c2,2,2014,-16.97,35.21,63.63309917,12.64398766,23.98843316,19.59168387,59.08101855,70.37510469,0.310740842,-3.331434959,1.152152528,26.36120033,33.46793934,22.16793094,133.4641324,32.50079523,0.440875849,-3.82767932,1.147511265,25.73497963,33.94473372,22.6215172,102.2320662,29.46155765,0.435936543,-4.056244411,1.044473237,26.2340641,32.29114596,21.46793209,146.5527385,36.7999074,0.404597328,-4.492152509,1.061435097,26.83202553,32.09114431,20.1375516,35.85653809,31.08981094,0.351383298,-5.25928242,1.107679409,26.56377602,31.46076405,16.80717214,4.232067261,26.99193759,0.286612811,-5.692488533,0.884641232,24.80190468,29.08397005,14.87679275,7.232067261,23.94215942,0.251856886,-5.87801572,0.911603081,24.86806679,29.7303815,15.80000019,10.23206704,21.52444469,0.215161356,-6.087465821,1.275358761,26.49035072,31.8375572,15.5071729,1,19.59955546,0.205509923,-5.986030775,1.575908243,29.36800575,33.97511363,18.54472412,3,17.9906985,0.199790356,-6.119069302,2.181984565,32.11476898,38.37511516,21.77510422,11.23206704,16.60504823,0.1960181,-6.979786768,1.96358757,32.73833466,37.39832078,22.04472412,21.46413408,15.4658094,0.310598407,-7.558901017,1.568228857,31.374506,36.32152587,22.59113786,104.392404,14.47298477
2364,Malawi,Nsanje,4.669230769,c1,5,2015,-16.54,35.11,64.34262008,16.23492476,27.1014947,21.91509665,66.70998295,50.03308233,0.166987709,-3.285629962,1.101568346,26.48497963,33.0781507,22.75938359,132.9691728,28.36916961,0.308699518,-3.545629952,1.109383368,26.00557899,33.73753373,22.9187661,113.5938321,26.35040313,0.352041871,-3.3953217,1.023753335,26.59685707,32.11876686,21.85938267,141.3753387,29.08820623,0.359733207,-3.80750666,1.029691689,26.90371132,31.71876664,20.47815032,26.78150194,24.52238772,0.338900631,-4.41095178,1.061568384,26.76656532,30.87815045,16.97815032,2,21.23163609,0.32288538,-4.716890118,0.869691682,25.13210487,28.67814969,14.71876694,8,18.69718614,0.322631137,-4.698766832,0.949691725,25.0017643,29.63753274,15.91876675,13,16.78150194,0.286632565,-4.818766717,1.312184943,26.96196938,31.78123336,15.68123363,1,15.18458537,0.283047233,-4.702828761,1.620335204,30.0937748,33.97198462,18.55321773,3,13.90643499,0.264184707,-4.866890213,2.20473205,33.01378632,37.94705085,22.38766882,10,12.82828499,0.264194101,-5.762828704,2.04378032,33.23552704,37.37198456,22.97198462,17,11.90951785,0.372243723,-6.346890035,1.562828456,31.72973061,36.11568524,23.4156842,100.9691708,11.13136773
2553,Malawi,Nsanje,32.2,c3,5,2015,-16.5,35.18,63.06128411,16.67326548,28.38384624,22.28385346,74.21734758,53.83524717,0.111034083,-3.388302117,1.061774582,26.40794248,32.83844196,22.70926329,149.4883687,45.73893443,0.120693919,-3.410751561,1.082483384,25.87168894,33.47915521,22.97849063,131.2191121,51.34392444,0.229820879,-3.169886926,0.973074695,26.36488169,31.83077902,21.67149091,150.8730803,65.75442286,0.246620265,-3.425188292,0.980399733,26.52148747,31.40317559,20.23167293,29.24660075,43.12347621,0.269394603,-4.011115087,0.993318797,26.44458817,30.43236747,16.70316477,2,32.71746153,0.30855777,-4.264324024,0.823474378,24.94427792,28.43395553,14.50316401,8.692259873,26.4934106,0.336422663,-4.147910867,0.871311818,25.08428968,29.10930936,15.5794013,17.9320368,22.38896575,0.305317355,-4.230897025,1.310201143,26.95643694,31.80068381,15.60362814,1,19.40326733,0.273225415,-4.123681957,1.744283654,30.04219418,34.55706718,18.9601771,3,17.11461637,0.272141237,-4.323081324,2.313493528,32.95010331,38.32377106,22.69770292,10.9773456,15.32210955,0.229215528,-5.285973878,2.100688795,33.14513574,37.54104482,23.11423362,17.9773456,13.8965559,0.386591052,-5.931077056,1.530194428,31.63553658,35.93299183,23.30383572,103.9093824,12.70109538
3474,Malawi,Chikwawa,49.85714286,c3,5,2015,-16.28,34.52,61.23400206,10.0008003,25.03527115,22.03821307,68.92968706,302.4786047,0.463692473,-1.929999948,0.959999979,26.2736454,31.39999962,21.89999962,135,35.5,0.540912512,-1.139999986,0.920000017,25.33733559,31.39999962,22,212,131.8000031,0.426301364,-1.440000057,1.019999981,25.99154091,31.70000076,21.79999924,91,109.3000031,0.403439021,-1.409999967,1.080000043,25.15450478,30.70000076,20.10000038,44,80.80000305,0.302128318,-1.610000014,1.070000052,24.94332314,30,17.20000076,12,54.70000076,0.250978394,-1.820000052,0.920000017,23.71117592,27.79999924,15,12,42,0.219171036,-1.940000057,0.930000007,23.43392372,27.60000038,15.5,11,34.29999924,0.194723696,-2.230000019,1.299999952,25.84768105,30.5,16.10000038,1,29.10000038,0.159572801,-2.190000057,1.789999962,27.5859623,33.20000076,19.29999924,5,25.29999924,0.161106414,-2.460000038,2.299999952,30.54232216,36.40000153,21.70000076,12,22.39999962,0.205342663,-3.369999886,1.970000029,31.89718056,35.70000076,23,19,20.10000038,0.290041278,-3.559999943,1.279999971,28.02117348,33.40000153,22.10000038,121,18.20000076
4221,Malawi,Chikwawa,66.015,c3,5,2015,-16.115,34.465,60.70124952,11.04536695,25.4788873,22.2473378,68.98807527,310.8511619,0.408043028,-1.886645758,0.95170378,25.90874672,31.13460988,21.76921913,138.2529033,53.2900222,0.516675914,-1.120931918,0.905164714,25.03222084,31.0433953,21.79999924,222.4728587,160.7051459,0.469593888,-1.390106688,0.999121433,25.6998539,31.43460911,21.60878605,93.21995561,136.9820544,0.426519711,-1.296699039,1.06346092,24.7958622,30.41757109,20.00878567,44.96171949,104.6583924,0.34361511,-1.434116738,1.116921868,24.53246498,30.06921912,17.5346095,12.65390642,71.62858346,0.265901962,-1.521641028,0.969504236,23.38796425,27.81261443,15.33460938,14.65390642,52.58769932,0.2170816,-1.681641075,0.999504223,23.12737465,27.7780048,15.76921852,12.65390642,41.17163347,0.182284155,-2.019883905,1.305218025,25.58623695,30.3521802,16.24339531,1,34.03090737,0.161829955,-2.020709123,1.793131439,27.387537,32.92635857,19.25713787,5.258236635,29.06328776,0.176744999,-2.380106734,2.295384351,30.32424355,36.25713748,21.63131494,12.42861633,25.3555698,0.186506284,-3.322139901,1.992911845,31.76830482,35.66043203,23.06043332,20.51647327,22.53906465,0.243624021,-3.550053269,1.256921854,27.78740883,33.17800336,22.07417656,125.8901817,20.71983012
4223,Malawi,Chikwawa,19.76666667,c2,2,2015,-16.1,34.59,63.91578396,14.72188436,26.26419228,20.37400177,64.21371627,152.2834517,0.408127199,-1.912369412,1.078554172,26.32606899,32.33124056,22.83123989,142,47.62198373,0.420470637,-1.106184698,1.092831228,25.41794886,32.51404842,23.11405088,219.8280999,148.5766955,0.419380869,-1.394277051,1.076184727,26.16418562,32.28281015,22.46561952,90.17190011,121.5142155,0.368717828,-1.25,1.091907653,25.27381365,31.10000038,20.48280967,40.51570212,86.30644317,0.327247246,-1.386184669,1.051907572,25.0206218,30.20000076,17.39999962,11.17190047,55.21735244,0.291522091,-1.542369407,0.865722945,23.84816152,27.89999962,14.83438006,16,41.27041128,0.275465665,-1.676184631,0.931907665,23.55925845,28.08281006,15.61719062,14,33.18132223,0.238649493,-2.019999981,1.263815307,25.95172076,30.79999924,16.21719092,1,27.86099127,0.223241039,-2.021907667,1.669538208,27.76349909,32.93438184,18.75157017,7.828099526,24.09223078,0.174577951,-2.403815335,2.245722935,30.69150881,36.41719062,21.70000076,15,21.24066074,0.176961493,-3.343815153,1.900984021,32.0954918,35.75157017,22.96875935,22,19.00627966,0.219680982,-3.6580924,1.442831252,28.17558285,34.51404842,23.23123951,118.5156997,17.17190118
