Country,District,Year,Year2,Lat,Long,Aflatoxin,class,PrecClus,PH,silt,CEC,orgcarb,nitrogen,dem,eviJan,pdsiJan,vpdJan,stempJan,maxtempJan,mintempJan,precJan,smoistJan,eviFeb,pdsiFeb,vpdFeb,stempFeb,maxtempFeb,mintempFeb,precFeb,smoistFeb,eviMar,pdsiMar,vpdMar,stempMar,maxtempMar,mintempMar,precMar,smoistMar,eviApr,pdsiApr,vpdApr,stempApr,maxtempApr,mintempApr,precApr,smoistApr,eviMay,pdsiMay,vpdMay,stempMay,maxtempMay,mintempMay,precMay,smoistMay,eviJun,pdsiJun,vpdJun,stempJun,maxtempJun,mintempJun,precJun,smoistJun,eviJul,pdsiJul,vpdJul,stempJul,maxtempJul,mintempJul,precJul,smoistJul,eviAug,pdsiAug,vpdAug,stempAug,maxtempAug,mintempAug,precAug,smoistAug,eviSep,pdsiSep,vpdSep,stempSep,maxtempSep,mintempSep,precSep,smoistSep,eviOct,pdsiOct,vpdOct,stempOct,maxtempOct,mintempOct,precOct,smoistOct,eviNov,pdsiNov,vpdNov,stempNov,maxtempNov,mintempNov,precNov,smoistNov,eviDec,pdsiDec,vpdDec,stempDec,maxtempDec,mintempDec,precDec,smoistDec
Uganda,Apac,2022B,2022,1.95,32.65,0.005,c1,3,61.01477972,19.92299755,24.22969587,29,81.64107809,1058.521213,0.26232914,-3.075279266,1.649999976,27.22918129,32.59999847,16.70352029,11.9296089,21.70497126,0.185139609,-3.217039149,1.840703941,29.90880775,33.40704058,18.20000076,39.8240223,17.83312803,0.161513651,-3.448095037,1.610351971,28.87594032,32.60351813,18.70000076,66.85921789,15.15072604,0.429655725,-3.257391062,1.169999957,22.92223549,30.50351957,19.40351918,157.8240222,31.77122895,0.528791371,-4.766687372,0.920000017,23.01632118,29.39999962,18.70352029,60,23.76977611,0.529200739,-4.945279397,0.990351963,22.87258339,28.70352029,19.29999924,102,19.21201039,0.389069244,-5.206686962,1.010351947,23.8137455,28.90351918,18.5,91.92960883,16.13664873,0.354587782,-5.459502617,0.909296114,24.26928139,29.20000076,17.40351918,116.7888267,13.95072623,0.327760802,-4.878446821,1.069648093,24.30651283,30.20352029,18.29999924,167.9296091,35.91698165,0.394136403,-3.797391024,1.030351928,23.91295815,30.70352029,19.29999924,202.9296091,102.0973197,0.471583619,-2.348446845,1.150703884,22.31209755,30.00351957,18.00351957,175.9296091,110.436648,0.555735428,-1.085983283,1.350351981,23.37478065,31.50351957,18.10000038,91.92960883,84.75921941
Kenya,Mbooni East,2010,2010,-1.67,37.55,0.01,c1,5,59.08830247,17.82723577,26.31693088,25.13586783,72.2220692,1309.99643,0.367907834,-2.932078806,1.140367783,22.66790199,29.99897698,14.39704792,11.97974324,23.40972275,0.285118393,-2.576775073,1.270635324,23.56026649,30.35506429,13.85303837,59.47334863,18.99564786,0.298021468,-2.136609858,1.185266531,23.62594032,30.29667447,16.5507368,132.4088451,16.89925197,0.415114736,-3.262346444,0.900090592,22.97234535,29.44528838,17.05229241,57.42633579,14.5164801,0.4036184,-3.772623844,0.770090597,22.33422279,28.09630196,15.69897646,37.46961449,12.77356994,0.284740513,-4.042358248,0.680090585,21.72600746,26.29860362,13.09897659,1,11.42863347,0.229286141,-3.962728146,0.720090585,21.57110023,25.30100272,12.69667413,0,10.33498726,0.211373225,-3.802958292,0.750127904,21.21776772,24.50090603,12.55026616,0,9.437109795,0.168011944,-3.487626793,1.01522918,22.84713173,27.14998934,14.09897659,5,8.64383685,0.249683335,-1.662562857,1.034999015,23.09917641,28.19667429,15.14796326,161.1672802,45.73220585,0.387460839,-1.309239803,0.795083268,21.13360023,26.9457588,15.79944705,251.5253784,113.3183088,0.434491981,-1.763198224,0.840405137,20.56978798,27.90377507,15.9460352,40.95575459,58.88016618
Uganda,Mukono,2022B,2022,0.63,32.85,0.02,c1,3,57.9860117,20.76822368,26.58213899,27.8266292,83.54438132,1083.541015,0.39821915,1.964465315,1.055534666,24.04302406,29.85534605,14.65534666,1,40.66603936,0.329293644,0.819999993,1.07106939,25.47020912,31.11069445,16.65534719,27,28.56604088,0.468554213,-2.492326606,0.915534716,25.57372475,29.45534643,16.55534681,57,22.31069331,0.518955079,-1.316791815,0.695534688,22.40981483,28.11069445,17.39999962,300.5534757,115.3302038,0.520520472,-1.446791811,0.645534676,21.20903969,28.05534681,18.45534643,109.4465307,106.16604,0.529322011,2.103395843,0.625534695,21.55010414,27.41069369,17.2553465,169.6791842,115.3302038,0.494352595,1.885534709,0.639999986,21.57067299,27.15534719,16.05534681,58.55346929,84.54089833,0.443175086,1.159999967,0.699999988,21.71642494,27.11069445,15.60000038,53.10694011,57.86228661,0.46936597,2.631069353,0.805534702,21.48266029,29.35534605,17.20000076,238.8930614,115.3302038,0.464956805,4.317673576,0.835534674,22.11428261,29.2553465,17.55534681,267.6604015,115.3302038,0.485034281,4.212138913,0.815534693,20.9019413,28.55534681,16.7553465,161.446531,115.3302038,0.50220716,5.673207951,0.861069404,21.57647133,29.51069407,17.89999962,226.3395924,115.3302038
Uganda,Gulu,2022B,2022,3.11,32.36,0.02,c1,3,60,20.22774924,23,28,75.95109996,1010.132777,0.223548403,-3.25,2.130000114,26.7943058,34.40000153,16.70000076,0,28.89999962,0.153073537,-3.660000086,2.75,29.74355507,37.5,17.5,2,23.20000076,0.163186184,-4.289999962,2.180000067,28.97448158,35.20000076,18.5,30,19.5,0.412250498,-4.210000038,1.25999999,23.14995766,31.20000076,19.70000076,128,17.79999924,0.467931163,-5.289999962,0.939999998,23.10708046,29.79999924,18.5,76,15.5,0.454995773,-5.340000153,0.930000007,21.9795475,29.10000038,18.70000076,118,14.69999981,0.428110428,-6.190000057,1.029999971,22.60997963,29.60000038,18.20000076,104,13.19999981,0.403506441,-7.159999847,0.870000005,22.75512123,29.39999962,17.39999962,83,12,0.408418496,-6.690000057,1.090000033,24.38817787,30.89999962,18.10000038,131,10.89999962,0.45151864,-6.289999962,1.129999995,24.221735,30.89999962,18.70000076,139,13.69999981,0.39035058,-5.440000057,1.269999981,22.54277992,30.5,18.5,126,13.5,0.335540342,-5.039999962,1.460000038,24.09441566,31.20000076,18.89999962,50,12.19999981
Tanzania,Kiteto,2012,2012,-5.1,36.35,0.03,c1,2,64.4805234,16.96688694,27.12266956,20.87132673,49.82539709,1454.707065,0.344087831,2,0.930000007,21.08033958,28.89999962,17,106,73.69999695,0.372335101,1.929999948,0.959999979,21.57294898,28.5,16.5,113,70.69999695,0.360442227,1.389999986,0.75,21.87594804,28.10000038,16.39999962,93,62,0.349062101,-1.049999952,0.699999988,22.41707337,26.89999962,16.39999962,75,50.79999924,0.243659366,-1.779999971,0.639999986,21.30268798,25,14.30000019,9,37.20000076,0.181664146,-2.130000114,0.689999998,20.74186313,24.5,12.89999962,1,29.70000076,0.171343011,-2.180000067,0.709999979,20.19544607,23.70000076,11.10000038,0,24.79999924,0.15161619,-2.049999952,0.879999995,21.06259482,25.29999924,12.39999962,0,21.29999924,0.147706488,-1.960000038,1.049999952,22.52881518,26.79999924,13.30000019,1,18.70000076,0.142050313,-2.279999971,1.289999962,24.09705843,29.10000038,14.5,0,16.70000076,0.14227457,-2.160000086,1.200000048,23.72913017,29.70000076,16.20000076,57,15.10000038,0.165981987,-2.099999905,1.059999943,22.3324548,30.10000038,17.10000038,99,13.89999962
Tanzania,Kiteto,2012,2012,-5.44,36.46,0.03,c1,2,61.24408825,17.06273574,24.25932025,20.04156855,42.41876079,1515.818521,0.363682697,2.318570189,0.863015614,19.8890934,28.33015644,16.46507841,108.6984415,80.34913314,0.380851544,2.36809358,0.8995234,20.2031498,28.13015637,16.03015599,110,74.32374012,0.376294547,1.931585764,0.686507805,20.83977699,27.66507917,15.7301564,84.34921832,55.40311937,0.391993595,1.028570151,0.643015586,21.64266396,26.4952344,15.56507818,65.3968823,35.90155732,0.249346625,-1.476984413,0.603015586,20.09755898,24.69523325,13.53015599,5.349220271,23.90632587,0.194768547,-1.550953224,0.683015607,19.29659462,24.33015644,12.33015583,0,18.2110914,0.173949092,-1.41841426,0.686507805,18.69265175,23.46507841,10.53015599,0,14.81585765,0.158529548,-1.264922053,0.836031205,19.42321205,24.96031281,11.49523449,0,12.55077965,0.15872433,-1.19889078,0.972538993,20.99730873,26.26031205,12.36031191,0.349220178,10.88570204,0.154393368,-1.625875252,1.216031238,22.74556923,28.69523325,13.63015602,0,9.620624047,0.142947285,-1.485875223,1.126031205,22.49151039,29.19523325,15.29523373,58.34922076,8.655545545,0.172107051,-1.445398625,0.94349219,21.27605629,29.16507917,16.23492235,108.3015585,8.250779807
Tanzania,Ifakara,2012,2012,-8.06,36.36,0.035,c1,4,53.97371762,17.13386959,25.93196706,28.01179225,99.95437177,349.7493198,0.668404172,-4.510000229,0.920000017,25.8064518,30.70000076,24.10000038,179,206.6000061,0.555550779,-4.190000057,0.949999988,26.06875038,30.29999924,23.70000076,178,265.8999939,0.563850043,-4.46999979,0.699999988,25.81960487,29.89999962,22.89999962,211,351.7000122,0.536466602,-5.039999962,0.709999979,26.21801186,29.10000038,22.5,242,351.7000122,0.60326623,-5.25,0.879999995,24.31295204,28.39999962,21.5,46,314.2999878,0.531962498,-5.010000229,0.930000007,23.13894081,27,20.10000038,10,261.2000122,0.490515544,-5.070000172,1,23.16552162,26.60000038,19,1,204.3000031,0.439302477,-5.050000191,1.029999971,23.98366737,27.5,19.39999962,2,150.1000061,0.434182824,-5.289999962,1.25,26.69591713,29.10000038,21.10000038,2,101.8000031,0.434552061,-5.820000172,1.519999981,28.88906288,31.70000076,22.5,1,76.19999695,0.497872257,-6.159999847,1.519999981,29.4208622,32.59999847,23.70000076,35,61.40000153,0.542422807,-5.71999979,1.429999948,27.59719276,32.29999924,24.10000038,178,94.5
Uganda,Tororo,2022B,2022,0.78,34.07,0.05,c1,4,59.95161997,20.17733325,22.94636564,25.64539383,73.97764841,1149.202985,0.310924008,6.610000134,1.399999976,25.27651405,31.20000076,17,22,46,0.276539106,5.659999847,1.419999957,25.9611454,32,18.5,59,32.09999847,0.351781524,5.059999943,1.279999971,25.82073402,31.60000038,18.20000076,112,25,0.438205793,2.849999905,0.910000026,23.17293739,29,16.70000076,58,20.5,0.437709054,1.720000029,0.75999999,22.05013466,29.10000038,18.39999962,148,42.20000076,0.429920939,1.399999976,0.879999995,21.35152626,29.29999924,18.5,135,55,0.393010107,1.00999999,0.810000002,21.47786903,28.29999924,17.70000076,86,45.09999847,0.391245905,1.590000033,0.939999998,21.00209999,27.79999924,18,179,100,0.409848992,3.130000114,1.00999999,21.7396183,29.10000038,17.10000038,228,127.8000031,0.393938177,2.980000019,1.110000014,21.42336464,29.70000076,17.79999924,95,107.4000015,0.411391357,2.75999999,1.139999986,21.63292885,29.70000076,17.20000076,107,93,0.379292183,2.170000076,1.24000001,22.76406288,30,16.70000076,34,44.90000153
Tanzania,Kiteto,2012,2012,-5.59,36.44,0.06,c1,2,64.37189352,16.93260126,25.23234376,23.50033753,58.13079234,1568.757545,0.413081163,2.437389785,0.823694865,19.67228861,28,16.23694884,113.891541,68.86305387,0.488785653,2.487389738,0.853694896,20.00380183,27.79999924,15.73694869,112,64.96305235,0.461096737,2.091084518,0.660000026,20.75081447,27.43694829,15.33694856,81.73897267,44.35422874,0.461558047,1.168474326,0.629999995,21.57433136,26.29999924,15.19999981,61.36948633,24.41728045,0.312429224,-1.447830793,0.600000024,20.05579725,24.5,13.19999981,5,17.49558976,0.237557764,-1.453051347,0.680000007,19.21069441,24.20000076,12,0,13.78474376,0.190882999,-1.321966738,0.689999998,18.59553009,23.39999962,10.30000019,0,11.38474319,0.169814939,-1.175661621,0.810000002,19.29186056,24.60000038,11.10000038,0,9.747794882,0.162448695,-1.109356428,0.949999988,20.86294878,26,12,0,8.510845748,0.153568098,-1.563051362,1.193694917,22.61792,28.5,13.30000019,0,7.610846023,0.152811485,-1.38044105,1.100000024,22.45197055,28.89999962,14.87389744,59,6.873897441,0.20961735,-1.327830789,0.923694889,21.14641584,28.93694829,15.9369485,114.6305137,7.678308049
Tanzania,Kiteto,2012,2012,-5.3,36.56,0.06,c1,2,65.45994363,17.60412732,25.99985842,22.18440286,53.69789069,1609.791128,0.300046949,-0.730000019,0.839999974,19.51046119,28,16.20000076,108,63.29999924,0.313605591,-0.550000012,0.870000005,20.04255352,27.79999924,15.69999981,108,58.5,0.362528457,-0.839999974,0.660000026,20.45273063,27.29999924,15.5,92,48.70000076,0.350718563,-1.49000001,0.610000014,21.05715502,26.10000038,15.39999962,82,40.29999924,0.303728129,-2.25999999,0.569999993,19.50109315,24.29999924,13.5,11,28.20000076,0.225784016,-2.589999914,0.620000005,18.82541031,23.79999924,12.19999981,1,21.89999962,0.171924638,-2.579999924,0.639999986,18.26767558,23,10.39999962,0,18.10000038,0.152555803,-2.400000095,0.779999971,19.04779819,24.29999924,11.19999981,0,15.39999962,0.146618467,-2.299999952,0.889999986,20.52536969,25.5,12,1,13.39999962,0.138043503,-2.680000067,1.120000005,22.22206463,28,13.30000019,0,11.89999962,0.140917724,-2.50999999,0.99000001,21.89912762,28.20000076,14.60000038,60,10.69999981,0.165397873,-2.400000095,0.910000026,20.84813518,28.89999962,16.10000038,101,9.699999809
